Model,MAE,MSE,R2,MAE_CI_low,MAE_CI_high,R2_CI_low,R2_CI_high,Inference_ms,Risk_Precision,Risk_Recall,Risk_F1,Risk_Specificity,Risk_Accuracy,Risk_PR_AUC,Risk_ROC_AUC,Risk_Brier,Risk_ECE,False_Alarms,False_Alarms_per_minute,Alert_Events,True_Alert_Events,False_Alert_Events,Ground_Truth_Fragmentation_Events,Missed_Fragmentation_Events,Alert_Event_Precision,Alert_Event_Recall,Alert_Event_F1,False_Alert_Events_per_minute,seed,Model_Backend
GCN,0.23439341167608896,0.16419615902434898,0.37957888683027463,0.16597064210929804,0.311479599316501,0.02184078976690177,0.4224965712113555,0.18514687508286443,0.1476994086254147,1.0,0.2573834359683298,0.043231865284974094,0.17930555555555555,0.13835732958530952,0.5216159326424871,0.8206944444444444,0.8206944444444445,5909.0,492.4166666666667,175.0,49.0,126.0,129.0,80.0,0.28,0.3798449612403101,0.3223684210526316,10.499999999999996,7,pytorch
T-GCN (w=5),0.29424115952923724,0.20699067041709499,0.21690175567155334,0.21677155609489704,0.3791378428758272,-1.1981692283711547,0.48615996825611163,0.17097734416893218,0.14186507936507936,1.0,0.24847958297132927,0.0,0.14186507936507936,0.8479792642337077,0.5,0.8581349206349206,0.8581349206349207,6055.0,514.8809523809524,115.0,48.0,67.0,126.0,78.0,0.41739130434782606,0.38095238095238093,0.3983402489626555,5.697278911564626,7,pytorch
Current-state persistence baseline,0.11486111111111111,0.1584722222222222,0.1402175306581125,0.05497916666666667,0.18801736111111114,-0.4190533414011797,0.3317917819066202,0.22130990278027532,0.5642965204236006,0.5883280757097792,0.576061776061776,0.9561376789521779,0.92375,0.45881752631218037,0.7722328773309785,0.07625,0.07625,288.0,24.0,0.0,0.0,0.0,203.0,203.0,0.0,0.0,0.0,0.0,17,deterministic_persistence_baseline
Kinetic-TopoGuard,0.11486111111111111,0.1584722222222222,0.1402175306581126,0.05497916666666667,0.18801736111111114,-0.4190533414011797,0.3317917819066202,5.545080305568665,0.4429065743944637,0.807570977917981,0.5720670391061452,0.9019189765458422,0.8936111111111111,0.6415865692016987,0.9430889074872851,0.1457822930261134,0.3094524801432409,644.0,53.666666666666664,109.0,73.0,36.0,203.0,130.0,0.6697247706422018,0.35960591133004927,0.467948717948718,2.999999999999999,17,scikit_learn
Shallow ML,0.17216415664640103,0.15313150745004678,0.16919328975633874,0.10013727749423193,0.25306517773374493,-0.4425190960163442,0.3872627923228336,0.03042313887918781,0.1083205193917649,1.0,0.1954678587945121,0.20514773073408468,0.2751388888888889,0.15618479701200044,0.6025738653670423,0.7248611111111111,0.7248611111111111,5219.0,434.9166666666667,261.0,92.0,169.0,203.0,111.0,0.3524904214559387,0.45320197044334976,0.396551724137931,14.083333333333329,17,scikit_learn
STGCN (w=5),0.18603959753940436,0.14615125385011507,0.1811016455720562,0.12345207190255122,0.2612726833688226,-0.6088456048203902,0.4203195304837438,0.3293749996373663,0.1619574715991844,0.9114754098360656,0.27504328468958694,0.5536766987278933,0.5846088435374149,0.1332183529632962,0.7325760542819795,0.415391156462585,0.415391156462585,2877.0,244.64285714285714,267.0,98.0,169.0,200.0,102.0,0.36704119850187267,0.49,0.4197002141327623,14.370748299319729,17,pytorch
T-GCN (w=5),0.20429694106857252,0.203266837815386,-0.13892200451115233,0.12079045475099463,0.29652258427116746,-1.3020469352674078,0.28546977491384234,0.21086796823510667,0.1776485788113695,0.9016393442622951,0.2968159740960605,0.6050263729444617,0.6306689342403629,0.15319230425187108,0.7533328586033783,0.3693310657596372,0.3693310657596372,2546.0,216.49659863945578,193.0,85.0,108.0,200.0,115.0,0.44041450777202074,0.425,0.43256997455470736,9.183673469387756,17,pytorch
GraphSAGE,0.2159269335369269,0.13613958291270634,0.2613820571801917,0.16047992718840637,0.2752735430126389,-0.5274448044331683,0.4646219042223747,0.055473436987085734,0.1387482742751956,0.9511041009463722,0.2421686746987952,0.42994212610417304,0.47583333333333333,0.17894105804989693,0.6905231135252725,0.5241666666666667,0.5241666666666667,3743.0,311.9166666666667,317.0,93.0,224.0,203.0,110.0,0.29337539432176657,0.458128078817734,0.35769230769230775,18.66666666666666,17,pytorch
TGN (w=5),0.2204887907859149,0.21874823362723342,-0.22566562949278324,0.1319137471354231,0.33084361568819776,-1.6405802448587499,0.3002272479744391,0.5638710936182179,0.19765309864319766,0.8836065573770492,0.3230446508840276,0.6605646912814148,0.6798469387755102,0.16245180406992227,0.772085624329232,0.3201530612244898,0.3201530612244898,2188.0,186.0544217687075,175.0,85.0,90.0,200.0,115.0,0.4857142857142857,0.425,0.45333333333333337,7.653061224489796,17,pytorch
GCN,0.243799104558097,0.19303737618244454,-0.04731384240125447,0.1655468696778019,0.3291957766215007,-1.1835563704547312,0.32855064978799015,0.11047890620830003,0.16973293768545994,0.9022082018927445,0.2857142857142857,0.5738653670423394,0.6027777777777777,0.20503882777063784,0.7380367844675418,0.3972222222222222,0.39722222222222225,2798.0,233.16666666666666,290.0,88.0,202.0,203.0,115.0,0.30344827586206896,0.43349753694581283,0.35699797160243407,16.83333333333333,17,pytorch
GAT,0.2648930226266384,0.2400375766730689,-0.30231088775552983,0.1792357587984039,0.3764053511226343,-1.79248383631086,0.28790272704922926,0.28467421816458227,0.1369990680335508,0.9274447949526814,0.2387332521315469,0.43588181541273224,0.4791666666666667,0.17622081191922984,0.6816633051827068,0.5208333333333334,0.5208333333333334,3704.0,308.6666666666667,361.0,96.0,265.0,203.0,107.0,0.2659279778393352,0.4729064039408867,0.3404255319148936,22.083333333333325,17,pytorch
PI+MLP,0.2705220599141386,0.18943531263527746,-0.027771041474497382,0.18342997652706175,0.3668485872041848,-1.1061578407159467,0.30182964150115604,0.035174218282918446,0.08805555555555555,1.0,0.16185856522849118,0.0,0.08805555555555555,0.13196012804041027,0.5,0.9119444444444444,0.9119444444444444,6566.0,547.1666666666666,169.0,92.0,77.0,203.0,111.0,0.5443786982248521,0.45320197044334976,0.4946236559139785,6.416666666666665,17,pytorch
FANET-TopoGNN,0.32118240430951117,0.22412898532416212,-0.21599968594418795,0.24058102921603455,0.406527899498327,-1.8995861804769216,0.309162475983698,0.12056093783030519,0.11289459604066346,0.998422712933754,0.20285210703412912,0.24246116356990557,0.3090277777777778,0.15413180061960202,0.6204419382518298,0.6909722222222222,0.6909722222222223,4974.0,414.5,205.0,95.0,110.0,203.0,108.0,0.4634146341463415,0.46798029556650245,0.465686274509804,9.166666666666664,17,pytorch
FANET-TopoGNN (concat),0.32309355915420584,0.2168318854993246,-0.1764096655705525,0.24055522358127765,0.40547702393018537,-1.8873145831541638,0.31792778004451205,0.05499843700818019,0.11255103852298953,1.0,0.2023296633157811,0.23865367042339325,0.30569444444444444,0.1536835739976139,0.6193268352116966,0.6943055555555555,0.6943055555555555,4999.0,416.5833333333333,190.0,93.0,97.0,203.0,110.0,0.48947368421052634,0.458128078817734,0.47328244274809167,8.08333333333333,17,pytorch
Current-state persistence baseline,0.15916666666666668,0.22944444444444445,0.5612285129459428,0.0665763888888889,0.25183333333333335,0.36669344098061524,0.646637241564185,0.2254045833251439,0.8459530026109661,0.864,0.8548812664907651,0.9585964912280702,0.9388888888888889,0.8311558330895801,0.911298245614035,0.06111111111111111,0.061111111111111116,236.0,19.666666666666668,0.0,0.0,0.0,169.0,169.0,0.0,0.0,0.0,0.0,27,deterministic_persistence_baseline
Kinetic-TopoGuard,0.15916666666666668,0.22944444444444445,0.5612285129459427,0.0665763888888889,0.25183333333333335,0.36669344098061524,0.646637241564185,4.943538194444652,0.7378335949764521,0.94,0.8267370272647317,0.9121052631578948,0.9179166666666667,0.9528797153123073,0.9833601169590643,0.06668830897213085,0.16385215014674934,501.0,41.75,113.0,78.0,35.0,169.0,91.0,0.6902654867256637,0.46153846153846156,0.5531914893617021,2.9166666666666656,27,scikit_learn
Shallow ML,0.22299850969772786,0.22936015587057146,0.5613896997769836,0.12049785724610117,0.31141459682940814,0.32888761949857603,0.6391906961494683,0.02956018055556342,0.20897185845639454,1.0,0.345701774602443,0.0038596491228070177,0.21138888888888888,0.2523513713476976,0.5019298245614034,0.7886111111111112,0.788611111111111,5678.0,473.1666666666667,142.0,79.0,63.0,169.0,90.0,0.5563380281690141,0.46745562130177515,0.5080385852090031,5.249999999999998,27,scikit_learn
GraphSAGE,0.2653258239146736,0.22686068801185127,0.5661694852796133,0.1812991735332956,0.35042697631629816,0.4560226995975815,0.6313980755490857,0.1919382812047843,0.2993006993006993,0.9986666666666667,0.4605687932359723,0.38473684210526315,0.5126388888888889,0.3512947656177876,0.6917017543859649,0.48736111111111113,0.48736111111111113,3507.0,292.25,291.0,84.0,207.0,169.0,85.0,0.28865979381443296,0.4970414201183432,0.36521739130434777,17.249999999999996,27,pytorch
PI+MLP,0.2803782331943512,0.3486643419963088,0.3332417693055675,0.15576742954510783,0.4158371792845429,0.1231507634753477,0.42641505583949424,0.031948437936080154,0.30242598684210525,0.9806666666666667,0.46228786926461346,0.4047368421052632,0.5247222222222222,0.3516171221291902,0.6927017543859648,0.4752777777777778,0.4752777777777778,3393.0,282.75,161.0,78.0,83.0,169.0,91.0,0.484472049689441,0.46153846153846156,0.4727272727272728,6.916666666666664,27,pytorch
STGCN (w=5),0.28335881792431244,0.22911488388259615,0.5594926015291546,0.19669278973836005,0.37119462946831094,0.0431303714535916,0.6685189538524752,0.928872656004387,0.23260278355463126,0.9993127147766323,0.37736828445367243,0.1435457953936797,0.32001133786848074,0.6884363113260695,0.5714292550851561,0.6799886621315193,0.6799886621315192,4797.0,407.90816326530614,201.0,76.0,125.0,163.0,87.0,0.3781094527363184,0.4662576687116564,0.4175824175824176,10.629251700680273,27,pytorch
TGN (w=5),0.2873366879565375,0.24536160059449294,0.5282558752581639,0.1970105278404966,0.3845752322505695,0.05082281580704994,0.6790868946203722,0.45635390688403277,0.20620748299319727,1.0,0.3419104688050758,0.0,0.20620748299319727,0.6804659548666051,0.5,0.7937925170068028,0.7937925170068028,5601.0,476.2755102040816,139.0,76.0,63.0,163.0,87.0,0.5467625899280576,0.4662576687116564,0.5033112582781456,5.357142857142858,27,pytorch
GCN,0.29421920048693817,0.24035247887313466,0.5403688469004129,0.2162844348464989,0.37797952746041125,0.11043496245646821,0.6179809753329664,0.06488671897386666,0.25951016154247003,0.996,0.41174038859032663,0.2521052631578947,0.40708333333333335,0.29848255602725954,0.6240526315789474,0.5929166666666666,0.5929166666666668,4263.0,355.25,286.0,80.0,206.0,169.0,89.0,0.27972027972027974,0.47337278106508873,0.3516483516483516,17.16666666666666,27,pytorch
T-GCN (w=5),0.2971132324666393,0.2637708413842566,0.49286137521216244,0.2018548988975804,0.39496939165238926,-0.17342875043747152,0.6540184327751439,0.3369453124832944,0.2903225806451613,0.9958762886597938,0.44958113558796153,0.3676129262631673,0.4971655328798186,0.7093919390407653,0.6817446074614806,0.5028344671201814,0.5028344671201815,3542.0,301.1904761904762,166.0,77.0,89.0,163.0,86.0,0.463855421686747,0.4723926380368098,0.46808510638297873,7.568027210884354,27,pytorch
GAT,0.3137379156632556,0.3077922375899546,0.4114023631383241,0.20405523428362277,0.4229663040996012,-0.33614244033115964,0.6345335935750073,0.2877679689845536,0.2905667701863354,0.998,0.45009019843656045,0.3587719298245614,0.49194444444444446,0.33606373981242477,0.6783859649122808,0.5080555555555556,0.5080555555555554,3655.0,304.5833333333333,280.0,82.0,198.0,169.0,87.0,0.29285714285714287,0.48520710059171596,0.36525612472160357,16.499999999999996,27,pytorch
FANET-TopoGNN (concat),0.316439974837833,0.2994515682163112,0.4273524024298001,0.22227230630359715,0.419806722736607,0.2701860956925588,0.4981411740945621,0.08075859386735829,0.2993374824332463,0.994,0.4601141799105076,0.387719298245614,0.5140277777777778,0.3553989153183823,0.690859649122807,0.48597222222222225,0.4859722222222222,3490.0,290.8333333333333,178.0,79.0,99.0,169.0,90.0,0.4438202247191011,0.46745562130177515,0.45533141210374634,8.249999999999998,27,pytorch
FANET-TopoGNN,0.31928232931428485,0.29126565896429046,0.4430064906518767,0.2208219923312879,0.4250695204161522,0.23485722021550517,0.5121673206504564,0.3809984373219777,0.2616512480363065,0.9993333333333333,0.4147184949508922,0.2578947368421053,0.4123611111111111,0.3134834734650829,0.6286140350877193,0.5876388888888889,0.5876388888888889,4230.0,352.5,176.0,80.0,96.0,169.0,89.0,0.45454545454545453,0.47337278106508873,0.46376811594202894,7.999999999999997,27,pytorch
