Model,Threshold,Risk_Precision_mean,Risk_Precision_ci95_low,Risk_Precision_ci95_high,Risk_Recall_mean,Risk_Recall_ci95_low,Risk_Recall_ci95_high,Risk_F1_mean,Risk_F1_ci95_low,Risk_F1_ci95_high,Risk_Specificity_mean,Risk_Specificity_ci95_low,Risk_Specificity_ci95_high,Risk_Accuracy_mean,Risk_Accuracy_ci95_low,Risk_Accuracy_ci95_high,False_Alarms_mean,False_Alarms_ci95_low,False_Alarms_ci95_high,False_Alarms_per_minute_mean,False_Alarms_per_minute_ci95_low,False_Alarms_per_minute_ci95_high,Alert_Events_mean,Alert_Events_ci95_low,Alert_Events_ci95_high,True_Alert_Events_mean,True_Alert_Events_ci95_low,True_Alert_Events_ci95_high,False_Alert_Events_mean,False_Alert_Events_ci95_low,False_Alert_Events_ci95_high,Ground_Truth_Fragmentation_Events_mean,Ground_Truth_Fragmentation_Events_ci95_low,Ground_Truth_Fragmentation_Events_ci95_high,Missed_Fragmentation_Events_mean,Missed_Fragmentation_Events_ci95_low,Missed_Fragmentation_Events_ci95_high,Alert_Event_Precision_mean,Alert_Event_Precision_ci95_low,Alert_Event_Precision_ci95_high,Alert_Event_Recall_mean,Alert_Event_Recall_ci95_low,Alert_Event_Recall_ci95_high,Alert_Event_F1_mean,Alert_Event_F1_ci95_low,Alert_Event_F1_ci95_high,False_Alert_Events_per_minute_mean,False_Alert_Events_per_minute_ci95_low,False_Alert_Events_per_minute_ci95_high
FANET-TopoGNN,0.8,0.19295614587770124,0.10805524056855126,0.2778570511868512,0.9982754529223624,0.9969869212567449,0.9995639845879799,0.3189056410647076,0.19740089297280605,0.44041038915660913,0.28552450566410725,0.21569708613306643,0.3553519251951481,0.38958333333333334,0.30819298598197165,0.47097368068469503,4393.333333333333,3806.4130505767125,4980.2536160899535,366.1111111111111,317.2010875480594,415.0211346741628,188.0,170.87568590181394,205.12431409818606,75.0,49.07163715156701,100.92836284843298,113.0,91.85984547517845,134.14015452482155,167.0,125.08470764347058,208.91529235652942,92.0,75.33039492569385,108.66960507430615,0.3970613774692144,0.2755970842169329,0.5185256707214958,0.4429833252854658,0.38861894235216893,0.4973477082187627,0.41665573698821784,0.32242942838002936,0.5108820455964064,9.416666666666663,7.654987122931533,11.178346210401791
FANET-TopoGNN,0.9,0.19295614587770124,0.10805524056855126,0.2778570511868512,0.9982754529223624,0.9969869212567449,0.9995639845879799,0.3189056410647076,0.19740089297280605,0.44041038915660913,0.28552450566410725,0.21569708613306643,0.3553519251951481,0.38958333333333334,0.30819298598197165,0.47097368068469503,4393.333333333333,3806.4130505767125,4980.2536160899535,366.1111111111111,317.2010875480594,415.0211346741628,188.0,170.87568590181394,205.12431409818606,75.0,49.07163715156701,100.92836284843298,113.0,91.85984547517845,134.14015452482155,167.0,125.08470764347058,208.91529235652942,92.0,75.33039492569385,108.66960507430615,0.3970613774692144,0.2755970842169329,0.5185256707214958,0.4429833252854658,0.38861894235216893,0.4973477082187627,0.41665573698821784,0.32242942838002936,0.5108820455964064,9.416666666666663,7.654987122931533,11.178346210401791
FANET-TopoGNN (concat),0.1,0.1991275426457323,0.09260196738429516,0.3056531179071694,0.9976744791666666,0.9940313446759979,1.0,0.3251119075728553,0.17876577583676048,0.47145803930895014,0.29968045415046357,0.21128192702151177,0.38807898127941537,0.3985648148148148,0.27862779664913495,0.5185018329804947,4327.0,3458.025650090867,5195.974349909133,360.5833333333333,288.1688041742389,432.9978624924277,176.0,158.91311614132056,193.08688385867944,73.66666666666667,48.22858148366247,99.10475184967088,102.33333333333333,93.76494699491205,110.9017196717546,167.0,125.08470764347058,208.91529235652942,93.33333333333333,76.04775810104468,110.61890856562198,0.4131813029765425,0.3052519774425945,0.5211106285104905,0.4351428871199397,0.3806945455236348,0.4895912287162446,0.42257140029086643,0.3401416314125438,0.5050011691691891,8.527777777777777,7.813745582909338,9.241809972646216
FANET-TopoGNN (concat),0.2,0.1991275426457323,0.09260196738429516,0.3056531179071694,0.9976744791666666,0.9940313446759979,1.0,0.3251119075728553,0.17876577583676048,0.47145803930895014,0.29968045415046357,0.21128192702151177,0.38807898127941537,0.3985648148148148,0.27862779664913495,0.5185018329804947,4327.0,3458.025650090867,5195.974349909133,360.5833333333333,288.1688041742389,432.9978624924277,176.0,158.91311614132056,193.08688385867944,73.66666666666667,48.22858148366247,99.10475184967088,102.33333333333333,93.76494699491205,110.9017196717546,167.0,125.08470764347058,208.91529235652942,93.33333333333333,76.04775810104468,110.61890856562198,0.4131813029765425,0.3052519774425945,0.5211106285104905,0.4351428871199397,0.3806945455236348,0.4895912287162446,0.42257140029086643,0.3401416314125438,0.5050011691691891,8.527777777777777,7.813745582909338,9.241809972646216
FANET-TopoGNN (concat),0.3,0.1991275426457323,0.09260196738429516,0.3056531179071694,0.9976744791666666,0.9940313446759979,1.0,0.3251119075728553,0.17876577583676048,0.47145803930895014,0.29968045415046357,0.21128192702151177,0.38807898127941537,0.3985648148148148,0.27862779664913495,0.5185018329804947,4327.0,3458.025650090867,5195.974349909133,360.5833333333333,288.1688041742389,432.9978624924277,176.0,158.91311614132056,193.08688385867944,73.66666666666667,48.22858148366247,99.10475184967088,102.33333333333333,93.76494699491205,110.9017196717546,167.0,125.08470764347058,208.91529235652942,93.33333333333333,76.04775810104468,110.61890856562198,0.4131813029765425,0.3052519774425945,0.5211106285104905,0.4351428871199397,0.3806945455236348,0.4895912287162446,0.42257140029086643,0.3401416314125438,0.5050011691691891,8.527777777777777,7.813745582909338,9.241809972646216
FANET-TopoGNN (concat),0.4,0.1991275426457323,0.09260196738429516,0.3056531179071694,0.9976744791666666,0.9940313446759979,1.0,0.3251119075728553,0.17876577583676048,0.47145803930895014,0.29968045415046357,0.21128192702151177,0.38807898127941537,0.3985648148148148,0.27862779664913495,0.5185018329804947,4327.0,3458.025650090867,5195.974349909133,360.5833333333333,288.1688041742389,432.9978624924277,176.0,158.91311614132056,193.08688385867944,73.66666666666667,48.22858148366247,99.10475184967088,102.33333333333333,93.76494699491205,110.9017196717546,167.0,125.08470764347058,208.91529235652942,93.33333333333333,76.04775810104468,110.61890856562198,0.4131813029765425,0.3052519774425945,0.5211106285104905,0.4351428871199397,0.3806945455236348,0.4895912287162446,0.42257140029086643,0.3401416314125438,0.5050011691691891,8.527777777777777,7.813745582909338,9.241809972646216
FANET-TopoGNN (concat),0.5,0.1991275426457323,0.09260196738429516,0.3056531179071694,0.9976744791666666,0.9940313446759979,1.0,0.3251119075728553,0.17876577583676048,0.47145803930895014,0.29968045415046357,0.21128192702151177,0.38807898127941537,0.3985648148148148,0.27862779664913495,0.5185018329804947,4327.0,3458.025650090867,5195.974349909133,360.5833333333333,288.1688041742389,432.9978624924277,176.0,158.91311614132056,193.08688385867944,73.66666666666667,48.22858148366247,99.10475184967088,102.33333333333333,93.76494699491205,110.9017196717546,167.0,125.08470764347058,208.91529235652942,93.33333333333333,76.04775810104468,110.61890856562198,0.4131813029765425,0.3052519774425945,0.5211106285104905,0.4351428871199397,0.3806945455236348,0.4895912287162446,0.42257140029086643,0.3401416314125438,0.5050011691691891,8.527777777777777,7.813745582909338,9.241809972646216
FANET-TopoGNN (concat),0.6,0.1991275426457323,0.09260196738429516,0.3056531179071694,0.9976744791666666,0.9940313446759979,1.0,0.3251119075728553,0.17876577583676048,0.47145803930895014,0.29968045415046357,0.21128192702151177,0.38807898127941537,0.3985648148148148,0.27862779664913495,0.5185018329804947,4327.0,3458.025650090867,5195.974349909133,360.5833333333333,288.1688041742389,432.9978624924277,176.0,158.91311614132056,193.08688385867944,73.66666666666667,48.22858148366247,99.10475184967088,102.33333333333333,93.76494699491205,110.9017196717546,167.0,125.08470764347058,208.91529235652942,93.33333333333333,76.04775810104468,110.61890856562198,0.4131813029765425,0.3052519774425945,0.5211106285104905,0.4351428871199397,0.3806945455236348,0.4895912287162446,0.42257140029086643,0.3401416314125438,0.5050011691691891,8.527777777777777,7.813745582909338,9.241809972646216
FANET-TopoGNN (concat),0.7,0.1991275426457323,0.09260196738429516,0.3056531179071694,0.9976744791666666,0.9940313446759979,1.0,0.3251119075728553,0.17876577583676048,0.47145803930895014,0.29968045415046357,0.21128192702151177,0.38807898127941537,0.3985648148148148,0.27862779664913495,0.5185018329804947,4327.0,3458.025650090867,5195.974349909133,360.5833333333333,288.1688041742389,432.9978624924277,176.0,158.91311614132056,193.08688385867944,73.66666666666667,48.22858148366247,99.10475184967088,102.33333333333333,93.76494699491205,110.9017196717546,167.0,125.08470764347058,208.91529235652942,93.33333333333333,76.04775810104468,110.61890856562198,0.4131813029765425,0.3052519774425945,0.5211106285104905,0.4351428871199397,0.3806945455236348,0.4895912287162446,0.42257140029086643,0.3401416314125438,0.5050011691691891,8.527777777777777,7.813745582909338,9.241809972646216
FANET-TopoGNN (concat),0.8,0.1991275426457323,0.09260196738429516,0.3056531179071694,0.9976744791666666,0.9940313446759979,1.0,0.3251119075728553,0.17876577583676048,0.47145803930895014,0.29968045415046357,0.21128192702151177,0.38807898127941537,0.3985648148148148,0.27862779664913495,0.5185018329804947,4327.0,3458.025650090867,5195.974349909133,360.5833333333333,288.1688041742389,432.9978624924277,176.0,158.91311614132056,193.08688385867944,73.66666666666667,48.22858148366247,99.10475184967088,102.33333333333333,93.76494699491205,110.9017196717546,167.0,125.08470764347058,208.91529235652942,93.33333333333333,76.04775810104468,110.61890856562198,0.4131813029765425,0.3052519774425945,0.5211106285104905,0.4351428871199397,0.3806945455236348,0.4895912287162446,0.42257140029086643,0.3401416314125438,0.5050011691691891,8.527777777777777,7.813745582909338,9.241809972646216
