Model,MAE,MSE,R2,MAE_CI_low,MAE_CI_high,R2_CI_low,R2_CI_high,Inference_ms,Risk_Precision,Risk_Recall,Risk_F1,Risk_Specificity,Risk_Accuracy,Risk_PR_AUC,Risk_ROC_AUC,Risk_Brier,Risk_ECE,False_Alarms,False_Alarms_per_minute,seed,Model_Backend
Kinetic-TopoGuard,0.2883830164647488,0.3837132922723862,0.6453905150715159,0.2757034835783944,0.300449380400525,0.6210697347125603,0.6664188267315497,5.325274638889823,0.4210771741664724,0.9955898566703418,0.5918400786498443,0.538989974006684,0.6540277777777778,0.8922100393214342,0.9545853904381116,0.0903778477093897,0.1339448655777542,2483.0,206.91666666666663,37,scikit_learn
FANET-TopoGNN,0.3541993144734038,0.4212186415591007,0.6107298638497083,0.3411313071087417,0.3665752014461905,0.5923291832415427,0.6265201254917468,0.0766390626267821,0.2972573493184431,0.9977949283351708,0.4580539035809187,0.2055328629780913,0.4051388888888889,0.2840623861198841,0.6016638956566311,0.5948611111111111,0.594861111111111,4279.0,356.5833333333333,37,pytorch
FANET-TopoGNN (concat),0.3583477098329199,0.4545676365985183,0.5799103165679955,0.3444814319811347,0.3718465831718511,0.5593037144838435,0.5997490627083965,0.0748890624890918,0.3778996204133277,0.98787210584344,0.5466748017083587,0.4522836984775343,0.5872222222222222,0.3817706948000414,0.7200779021604871,0.4127777777777778,0.4127777777777778,2950.0,245.83333333333331,37,pytorch
T-GCN (w=5),0.36323139237033,0.518342072196966,0.5236905197613341,0.3468425920083189,0.376425555202468,0.5061180377076826,0.5459003222810859,0.1381187498736835,0.3625827814569536,0.9937606352807714,0.53131159969674,0.4180993765350463,0.5619331065759637,0.666091700604788,0.7059300059079088,0.4380668934240362,0.4380668934240362,3080.0,261.9047619047619,37,pytorch
STGCN (w=5),0.3834557107516697,0.5581726389527236,0.4870898315929284,0.3658678084385925,0.396532906441529,0.4710329560583075,0.5091893758150411,0.150374999975611,0.3553165584415584,0.993193420306296,0.5233896278583171,0.3997732854713773,0.5480442176870748,0.6655409461183476,0.6964833528888367,0.4519557823129251,0.4519557823129251,3177.0,270.1530612244898,37,pytorch
TGN (w=5),0.3918301824167742,0.5328816980297191,0.5103299187321517,0.3754922774297242,0.4046981833638653,0.4931892375045724,0.5315369034770596,0.1468718751311826,0.2498582766439909,1.0,0.3998185735344143,0.0,0.2498582766439909,0.6059244730061162,0.5,0.750141723356009,0.750141723356009,5293.0,450.0850340136054,37,pytorch
GAT,0.4198158055378331,0.5653962389763427,0.477487819364939,0.408291467335903,0.4328641057531867,0.4619672844678121,0.4904877261889419,0.0867312501213746,0.2697986577181208,0.9972436604189636,0.4246977344758774,0.0909766060155959,0.3193055555555555,0.2491983215584819,0.5441101332172797,0.6806944444444445,0.6806944444444444,4896.0,408.0,37,pytorch
GraphSAGE,0.4227190615485112,0.5369542878645357,0.5037725111836406,0.410830843998947,0.4335153352688584,0.4897037384741872,0.518423823240285,0.0588718748986138,0.3065718157181571,0.9977949283351708,0.4690334283493132,0.239881173412551,0.4308333333333333,0.2907693490859277,0.618838050873861,0.5691666666666667,0.5691666666666666,4094.0,341.1666666666667,37,pytorch
GCN,0.4268199328498708,0.5784125385797563,0.4654587773927241,0.4145085810824401,0.4392503453290297,0.4476532945663921,0.4801754343758789,0.0512367187184281,0.293241695303551,0.98787210584344,0.4522397476340694,0.1981062012625325,0.3970833333333333,0.2809595406435144,0.5929891535529862,0.6029166666666667,0.6029166666666667,4319.0,359.9166666666667,37,pytorch
PI+MLP,0.4552465298275153,0.6984309428071646,0.3545435045519594,0.4393788620274927,0.4719097506867514,0.3408848558262928,0.3677891358826159,0.0296468747364997,0.2646370023419204,0.9966923925027564,0.4182280823502198,0.0672112885258076,0.3013888888888889,0.2438974141931703,0.531951840514282,0.6986111111111111,0.6986111111111111,5024.0,418.6666666666667,37,pytorch
Kinetic-TopoGuard,0.3304166666666667,0.5773611111111111,0.2491232696825165,0.3137465277777777,0.3452916666666666,0.1972471255648567,0.2990742284167225,5.785165902780136,0.3727399165507649,0.9962825278810408,0.5425101214574899,0.5155746509129968,0.6233333333333333,0.79481230292063,0.9230776312351068,0.1026190137558997,0.1118098279965748,2706.0,225.5,47,scikit_learn
TGN (w=5),0.3817057249362236,0.5555828945278725,0.2732004097292074,0.3680256316919817,0.3974074457698161,0.2559163113860925,0.2890999739763973,0.116341406283027,0.2933059854559015,0.9987301587301588,0.4534447967714038,0.3085203430031016,0.4625850340136054,0.4983197379445425,0.6536252508666301,0.5374149659863946,0.5374149659863947,3790.0,322.27891156462584,47,pytorch
GAT,0.3878171996192799,0.5014263106158826,0.3478789247065259,0.3754788826716442,0.4013901238712585,0.3294150850736234,0.3664553608762776,0.107730468698719,0.3351316357358653,0.9622057001239156,0.4971190781049936,0.4484425349087003,0.5636111111111111,0.2655014879806165,0.7053241175163081,0.4363888888888889,0.4363888888888889,3081.0,256.75,47,pytorch
GraphSAGE,0.3911369945274459,0.4673127899553539,0.3922446576252194,0.3789209359553125,0.4018714217367685,0.3709910038569754,0.4127091640728376,0.1961265625141095,0.3239349660423956,0.9752168525402726,0.4863278232658736,0.411922663802363,0.5381944444444444,0.2550330786008896,0.6935697581713178,0.4618055555555556,0.4618055555555555,3285.0,273.75,47,pytorch
FANET-TopoGNN,0.4148179155919287,0.4799108893886349,0.3758604233416323,0.4018269558687591,0.4264018364383115,0.3593339308799552,0.3937901368504323,0.0607812498856219,0.2755662319835278,0.9950433705080544,0.4316044074173609,0.2441818832796276,0.4125,0.1962054957708029,0.619612626893841,0.5875,0.5874999999999999,4222.0,351.8333333333333,47,pytorch
FANET-TopoGNN (concat),0.4174136586652862,0.4882578905013179,0.3650048794145637,0.404908288663874,0.4288638521087252,0.3506246815553383,0.3802231457624322,0.0690328124619554,0.266468548786528,1.0,0.4208056315995307,0.2046186895810956,0.3829166666666667,0.1863334403267736,0.6023093447905479,0.6170833333333333,0.6170833333333334,4443.0,370.25,47,pytorch
STGCN (w=5),0.4264957042508114,0.5478197724090081,0.2833559311298571,0.4131863008042092,0.4404717951867298,0.268007300425285,0.2985999605464913,0.1952640627678192,0.3022489336952307,0.98984126984127,0.4630922322887271,0.3433679985404123,0.4876700680272108,0.5006659639232519,0.6666046341908411,0.5123299319727891,0.5123299319727891,3599.0,306.0374149659864,47,pytorch
GCN,0.4514735492650005,0.5991426108763899,0.2207957273343863,0.4386421332255834,0.4657032439725266,0.2062030308712723,0.2368001758886748,0.0493742186336021,0.3087195600942655,0.9739776951672864,0.4688338801073665,0.3698532044396706,0.5052777777777778,0.2355094750213145,0.6719154498034785,0.4947222222222222,0.4947222222222222,3520.0,293.3333333333333,47,pytorch
T-GCN (w=5),0.4595967482040528,0.5377080401257633,0.2965838453669135,0.4480380320374573,0.4723002093252799,0.2747670689599962,0.3155927837864525,0.1760265622579027,0.2593080724876441,0.9993650793650792,0.4117724002616089,0.1797117314358693,0.3626700680272108,0.433905823454207,0.5895384054004744,0.6373299319727891,0.6373299319727891,4496.0,382.312925170068,47,pytorch
PI+MLP,0.4897425848742326,0.7239337627759242,0.0585008129253656,0.4755947711339427,0.5051497170258727,0.0468123468431977,0.0691289191641229,0.0565960936000919,0.2243875278396436,0.9987608426270136,0.3664469197544897,0.0025062656641604,0.2258333333333333,0.1469683593207358,0.5006335541455871,0.7741666666666667,0.7741666666666667,5572.0,464.3333333333333,47,pytorch
