Threshold,Risk_Precision,Risk_Recall,Risk_F1,Risk_Specificity,Risk_Accuracy,False_Alarms,False_Alarms_per_minute,seed,Model,Model_Backend
0.3,0.4949793266391022,0.9789719626168224,0.6575127500980777,0.6884110787172012,0.7575,1710.0,142.5,7,Kinetic-TopoGuard,scikit_learn
0.4,0.5515832482124617,0.9462616822429907,0.6969240696924069,0.7600218658892128,0.8043055555555556,1317.0,109.75,7,Kinetic-TopoGuard,scikit_learn
0.5,0.6704545454545454,0.8615654205607477,0.7540899795501023,0.8678935860058309,0.8663888888888889,725.0,60.416666666666664,7,Kinetic-TopoGuard,scikit_learn
0.6,0.782791817087846,0.759929906542056,0.7711914641375223,0.9342201166180758,0.8927777777777778,361.0,30.083333333333332,7,Kinetic-TopoGuard,scikit_learn
0.7,0.8818958818958819,0.6629672897196262,0.7569189729909971,0.9723032069970845,0.89875,152.0,12.666666666666666,7,Kinetic-TopoGuard,scikit_learn
0.8,0.9382716049382716,0.5771028037383178,0.7146473779385172,0.9881559766763849,0.8904166666666666,65.0,5.416666666666667,7,Kinetic-TopoGuard,scikit_learn
0.9,0.988479262672811,0.2505841121495327,0.3998136067101585,0.9990889212827988,0.8211111111111111,5.0,0.4166666666666667,7,Kinetic-TopoGuard,scikit_learn
0.1,0.2917023096663815,0.9959112149532711,0.45123726346433773,0.2456268221574344,0.4240277777777778,4140.0,345.0,7,GCN,pytorch
0.2,0.2917023096663815,0.9959112149532711,0.45123726346433773,0.2456268221574344,0.4240277777777778,4140.0,345.0,7,GCN,pytorch
0.3,0.2917023096663815,0.9959112149532711,0.45123726346433773,0.2456268221574344,0.4240277777777778,4140.0,345.0,7,GCN,pytorch
0.4,0.2917023096663815,0.9959112149532711,0.45123726346433773,0.2456268221574344,0.4240277777777778,4140.0,345.0,7,GCN,pytorch
0.5,0.2917023096663815,0.9959112149532711,0.45123726346433773,0.2456268221574344,0.4240277777777778,4140.0,345.0,7,GCN,pytorch
0.6,0.2917023096663815,0.9959112149532711,0.45123726346433773,0.2456268221574344,0.4240277777777778,4140.0,345.0,7,GCN,pytorch
0.7,0.2917023096663815,0.9959112149532711,0.45123726346433773,0.2456268221574344,0.4240277777777778,4140.0,345.0,7,GCN,pytorch
0.8,0.2917023096663815,0.9959112149532711,0.45123726346433773,0.2456268221574344,0.4240277777777778,4140.0,345.0,7,GCN,pytorch
0.9,0.2917023096663815,0.9959112149532711,0.45123726346433773,0.2456268221574344,0.4240277777777778,4140.0,345.0,7,GCN,pytorch
0.1,0.24704184704184703,1.0,0.3962045822726221,0.049198250728862976,0.2752777777777778,5218.0,434.8333333333333,7,GAT,pytorch
0.2,0.24704184704184703,1.0,0.3962045822726221,0.049198250728862976,0.2752777777777778,5218.0,434.8333333333333,7,GAT,pytorch
0.3,0.24704184704184703,1.0,0.3962045822726221,0.049198250728862976,0.2752777777777778,5218.0,434.8333333333333,7,GAT,pytorch
0.4,0.24704184704184703,1.0,0.3962045822726221,0.049198250728862976,0.2752777777777778,5218.0,434.8333333333333,7,GAT,pytorch
0.5,0.24704184704184703,1.0,0.3962045822726221,0.049198250728862976,0.2752777777777778,5218.0,434.8333333333333,7,GAT,pytorch
0.6,0.24704184704184703,1.0,0.3962045822726221,0.049198250728862976,0.2752777777777778,5218.0,434.8333333333333,7,GAT,pytorch
0.7,0.24704184704184703,1.0,0.3962045822726221,0.049198250728862976,0.2752777777777778,5218.0,434.8333333333333,7,GAT,pytorch
0.8,0.24704184704184703,1.0,0.3962045822726221,0.049198250728862976,0.2752777777777778,5218.0,434.8333333333333,7,GAT,pytorch
0.9,0.24704184704184703,1.0,0.3962045822726221,0.049198250728862976,0.2752777777777778,5218.0,434.8333333333333,7,GAT,pytorch
0.1,0.3042163316135919,0.9988317757009346,0.46638483567434885,0.2873542274052478,0.45652777777777775,3911.0,325.9166666666667,7,GraphSAGE,pytorch
0.2,0.3042163316135919,0.9988317757009346,0.46638483567434885,0.2873542274052478,0.45652777777777775,3911.0,325.9166666666667,7,GraphSAGE,pytorch
0.3,0.3042163316135919,0.9988317757009346,0.46638483567434885,0.2873542274052478,0.45652777777777775,3911.0,325.9166666666667,7,GraphSAGE,pytorch
0.4,0.3042163316135919,0.9988317757009346,0.46638483567434885,0.2873542274052478,0.45652777777777775,3911.0,325.9166666666667,7,GraphSAGE,pytorch
0.5,0.3042163316135919,0.9988317757009346,0.46638483567434885,0.2873542274052478,0.45652777777777775,3911.0,325.9166666666667,7,GraphSAGE,pytorch
0.6,0.3042163316135919,0.9988317757009346,0.46638483567434885,0.2873542274052478,0.45652777777777775,3911.0,325.9166666666667,7,GraphSAGE,pytorch
0.7,0.3042163316135919,0.9988317757009346,0.46638483567434885,0.2873542274052478,0.45652777777777775,3911.0,325.9166666666667,7,GraphSAGE,pytorch
