Model,MAE,MSE,R2,MAE_CI_low,MAE_CI_high,R2_CI_low,R2_CI_high,Inference_ms,Risk_Precision,Risk_Recall,Risk_F1,Risk_Specificity,Risk_Accuracy,seed
PI+MLP,0.4372188012633058,0.5248173487017254,0.401253699194434,0.4238849853641457,0.4518403419690827,0.3813564613723125,0.4176432159722331,0.0311539063204691,0.2546462829736211,0.9924065420560748,0.4052958015267176,0.0938411078717201,0.3075,7
Union-Find detection oracle,0.2938888888888888,0.4938888888888889,0.1995629159329722,0.2810694444444444,0.3093090277777778,0.1449907332712679,0.2611888141789502,0.2048072777769346,0.648921832884097,0.6577868852459017,0.6533242876526459,0.9091701534170152,0.8580555555555556,17
Kinetic-TopoGuard,0.2938888888888888,0.4938888888888889,0.1995629159329722,0.2787465277777777,0.3073680555555555,0.1314946890845148,0.2575173589043551,4.88892450000195,0.3480861244019139,0.9938524590163934,0.5155917788802268,0.5249302649930265,0.6202777777777778,17
STGCN (w=5),0.3352965800737848,0.3857949141916936,0.3656548387675518,0.3235016378808487,0.3448907257630035,0.3338313221874531,0.3980584048473556,0.1766953125752479,0.3385272681578286,0.9532908704883228,0.4996290801186943,0.5335814283182704,0.6176303854875284,17
Shallow ML,0.3519838931163152,0.3544386848804592,0.4255674225744877,0.3411604185222338,0.3633946894707365,0.3918047893748889,0.450182975941739,0.0271660416668358,0.2959005669428696,0.9269125683060108,0.448595041322314,0.4370641562064156,0.5366666666666666,17
TGN (w=5),0.3680538749850255,0.5403214614379923,0.1115738130157678,0.3544218886958312,0.3815509515787029,0.044580238740436,0.1612421736351262,0.3826117188054923,0.3817282513820192,0.9285208775654636,0.5410309278350516,0.6234272550062023,0.6845238095238095,17
GraphSAGE,0.3831442810263898,0.4091453524413539,0.3369052832824288,0.3705965451972766,0.3970468722023069,0.2998688157206682,0.3675929812950391,0.0468484374778199,0.2835294117647058,0.9877049180327868,0.4405850091407677,0.3629707112970711,0.49,17
GAT,0.3836834871768951,0.4772698868711506,0.226497041835479,0.370545621883538,0.3976716554115216,0.1789411408851531,0.2719738463067594,0.1191851561088697,0.3356294536817102,0.9651639344262296,0.4980613323933733,0.5123779637377964,0.6044444444444445,17
GCN,0.3962917018433411,0.4789712116357368,0.2237397345458168,0.3824766090056962,0.4101273582590122,0.1788079125734392,0.2663620716456248,0.0488929688344796,0.3149372862029646,0.9433060109289616,0.47221747307232,0.4762900976290097,0.57125,17
PI+MLP,0.4412386088569959,0.4885832418080943,0.2081616853606347,0.4277772905375395,0.4523122309289045,0.1846500223083042,0.2278794820941634,0.0342054688644566,0.203559510567297,1.0,0.3382624768946395,0.00139470013947,0.2044444444444444,17
T-GCN (w=5),0.4461174764398004,0.4354638831310722,0.2839863953768119,0.4342723447339537,0.4555638497773465,0.2458929471671501,0.315607065947513,0.1126874999499705,0.2954112920279129,0.9886765746638358,0.4549006838163464,0.4095339358497253,0.5255102040816326,17
FANET-TopoGNN (concat),0.4471964259445667,0.4782359155542337,0.2249314160447232,0.4351163790993806,0.4610790704499102,0.1839881565514658,0.2658343182794199,0.0502640623381012,0.3132006405856783,0.9351092896174864,0.4692373607540702,0.4766387726638773,0.5698611111111112,17
FANET-TopoGNN,0.490077464133501,0.5066966141757328,0.1788056595686987,0.4780122419912368,0.5016526062527877,0.1227707870250605,0.2203786250321805,0.0619265626937703,0.2472462294526351,0.996584699453552,0.3961982348947725,0.2255927475592747,0.3823611111111111,17
Kinetic-TopoGuard,0.3164511759871923,0.3909972187816101,0.66784953448505,0.3045712398366799,0.3266709463857903,0.6390307857997307,0.6881839883511945,5.0259623055535485,0.4432479000646134,0.997093023255814,0.6136871924854629,0.496690031152648,0.6401388888888889,27
Union-Find detection oracle,0.3273611111111111,0.5768055555555556,0.5100061468815797,0.3132986111111111,0.3419513888888889,0.4730973907251111,0.5407532098615866,0.2056860000003427,0.8102224325603408,0.8294573643410853,0.8197270768494135,0.9219236760124612,0.8954166666666666,27
Shallow ML,0.3469585341692084,0.4237590333844846,0.6400185130640581,0.335652039746354,0.358008676017413,0.6157032454266143,0.6636766535098828,0.0289462500020615,0.2891600056093114,0.999031007751938,0.4485046220772158,0.0130451713395638,0.2956944444444444,27
GraphSAGE,0.4369029132773478,0.5139586794576334,0.5633942994038221,0.4253991086098055,0.4503054064392215,0.544747396109399,0.578337926182657,0.0767085937241063,0.3836336336336336,0.9903100775193798,0.553030303030303,0.3605919003115265,0.5411111111111111,27
T-GCN (w=5),0.4417277584000239,0.5482871193459812,0.5254987772121835,0.4307669722857355,0.4557592364180149,0.5035211656240154,0.5461888606993528,0.1464007812046475,0.3235958683021304,0.9985059760956176,0.4887859580692344,0.169770206022187,0.4056122448979591,27
PI+MLP,0.470938929716746,0.7400485065996196,0.3713319579697524,0.4526217157894538,0.4895448166649375,0.3513534717021129,0.3862732658241846,0.0296992186576972,0.3387366310160428,0.9820736434108528,0.503727634194831,0.2295560747663551,0.4452777777777778,27
FANET-TopoGNN (concat),0.4838053349985016,0.5453034200578886,0.5367670762888792,0.4720432625460542,0.4982952442461004,0.5194361252569529,0.5509448465970318,0.070327343792087,0.4239468769454244,0.9898255813953488,0.5936364957140782,0.4595015576323987,0.6115277777777778,27
FANET-TopoGNN,0.5090676995201243,0.6171141154156907,0.4757641976331908,0.4958822468450914,0.5229098704931223,0.4610285643695765,0.4880466059700909,0.0547867186924122,0.3573907009021513,0.998062015503876,0.5263157894736843,0.278816199376947,0.485,27
GAT,0.5113942471146583,0.6818273765411788,0.4207905590103875,0.4984785994256122,0.5264202196997486,0.3848382411927998,0.453296796910475,0.1581601561611023,0.3441275167785235,0.9937015503875968,0.5112163509471586,0.2389018691588785,0.4552777777777778,27
GCN,0.5314888935701715,0.6690180573017801,0.4316720209337069,0.5178707946334035,0.5460215737238112,0.4120721205578016,0.4484916560323875,0.1753914064011041,0.413233204789933,0.9864341085271318,0.5824631669289086,0.4371105919003115,0.5945833333333334,27
STGCN (w=5),0.5345337224148569,0.6316945607630255,0.4533159161790815,0.5216270152998923,0.5475437844450883,0.4322109473755431,0.4712456274007783,0.1242867188011587,0.3961103393530462,0.99402390438247,0.5664821910032638,0.3971870047543581,0.5670351473922902,27
TGN (w=5),0.5437303950287857,0.7441212076969352,0.3560191175460803,0.5297103299041301,0.5591856053705135,0.3264973556898484,0.3838018368781569,0.1626203124942549,0.3904966757919437,0.9945219123505976,0.5607975287840494,0.3825277337559429,0.5566893424036281,27
